classification,avg_total_closed_pnl_per_acct_day,median_total_closed_pnl_per_acct_day,num_acct_days,total_winning_closes,total_closes,avg_trade_size_usd,overall_win_rate
Extreme Fear,3842.0585442419356,87.55654150000001,124,3191,4221,4394.035793442967,0.7559819947879649
Fear,4904.455594122581,61.428942,465,9486,10632,4220.558109786106,0.8922121896162528
Neutral,2757.349101280142,70.529315,282,7323,8551,2856.7061710370895,0.856391065372471
Greed,3322.6625766746506,159.201612,501,11734,15939,3048.7567114291055,0.7361816927034318
Extreme Greed,5089.715352724638,315.677144,414,10998,12611,2007.6185535947714,0.8720957893902149
