classification,avg_total_closed_pnl_per_acct_day,median_total_closed_pnl_per_acct_day,overall_win_rate,avg_trade_size_usd,liquidation_rate,num_account_days
Extreme Fear,4619.4390530625005,218.377399,0.7996366745030989,5349.7318429906545,0.0,160
Extreme Greed,5161.9226438650185,418.3198625,0.8738580720602207,3112.2515645629123,0.0,526
Fear,5328.818161336508,107.89253199999999,0.8859182055058343,7816.109930785776,0.0,630
Greed,3318.100729862654,158.214922,0.7607660455486542,5736.884375086974,1.9879530047909668e-05,648
Neutral,3438.6188179521278,167.551743,0.8300195670011993,4782.732661465797,0.0,376
